epu_ori_donga_naver,epu_ori_Kyunghyang_naver,epu_ori_maeil_naver,epu_ori_hankyoreh_naver,total_ori_Kyunghyang_naver,total_ori_donga_naver,total_ori_maeil_naver,total_ori_hankyoreh_naver,month,year
3,1,7,0,2542,3201,3207,2431,8,1990
2,0,10,0,2431,2932,2899,2219,9,1990
4,2,9,3,2469,2787,2849,2133,10,1990
3,1,4,2,2712,3029,2971,2274,11,1990
4,3,6,2,2660,2961,2715,2294,12,1990
6,2,9,4,2574,2815,2737,2201,1,1991
5,3,6,2,2291,2528,2368,1956,2,1991
3,5,8,4,3044,3089,2717,2469,3,1991
5,2,2,3,3110,2921,2820,2154,4,1991
2,1,4,0,3249,3015,3241,2266,5,1991
5,3,6,2,3218,2819,3009,2387,6,1991
1,1,5,2,3432,3022,3422,2425,7,1991
8,5,5,7,3245,3095,3227,2428,8,1991
5,4,7,2,3138,2893,2726,2198,9,1991
2,1,10,2,3376,3290,3189,2360,10,1991
1,4,6,6,3322,3301,2958,2253,11,1991
6,7,8,6,3550,3146,2686,2273,12,1991
6,3,13,1,3377,3190,2831,2226,1,1992
1,4,3,0,3209,2905,2510,2185,2,1992
3,2,6,0,3431,2994,2526,2319,3,1992
2,2,3,1,3566,3001,2764,2360,4,1992
0,2,6,5,3528,2991,2977,2501,5,1992
2,3,3,0,3614,3224,3026,2379,6,1992
6,1,6,4,3666,3210,3206,2555,7,1992
3,0,6,2,3480,3405,2948,2473,8,1992
1,3,7,3,3108,2973,2620,2299,9,1992
7,3,10,5,3479,2950,3146,2544,10,1992
2,7,13,3,3383,2848,2838,2522,11,1992
7,11,15,2,3358,3028,3000,2495,12,1992
4,6,5,0,3094,2707,2755,1983,1,1993
2,4,3,1,3190,2725,2950,2267,2,1993
3,8,5,5,3498,2805,3036,2380,3,1993
6,2,6,3,3413,3618,3517,2308,4,1993
1,1,4,2,2987,3539,3616,2347,5,1993
4,5,8,1,3107,3474,3714,2402,6,1993
1,5,13,2,3129,3329,3808,2494,7,1993
12,13,28,6,2903,2950,3579,2456,8,1993
3,3,23,4,2985,3243,3724,2508,9,1993
5,5,12,3,2996,3114,3508,2388,10,1993
8,3,15,3,3080,3077,3497,2687,11,1993
1,2,12,2,3234,3215,3635,2598,12,1993
2,7,13,1,3340,3260,3706,2638,1,1994
1,4,9,3,3048,2957,3203,2336,2,1994
4,1,7,2,3558,3282,3342,2923,3,1994
2,1,9,1,3530,3329,3712,2689,4,1994
2,2,8,2,3649,3455,3568,2763,5,1994
3,5,4,3,3438,3267,3794,2750,6,1994
11,8,12,2,3438,3363,3709,2722,7,1994
9,6,2,1,3491,3179,3163,2833,8,1994
3,3,9,0,3237,3132,3928,2781,9,1994
3,4,7,0,3370,3362,4116,2897,10,1994
3,3,6,3,3367,3198,4026,2906,11,1994
6,3,4,2,3498,3131,3995,2804,12,1994
5,1,11,5,3235,3284,3648,2819,1,1995
2,3,6,3,3276,3601,3806,2666,2,1995
4,0,5,4,3637,3827,3788,3263,3,1995
2,0,7,4,3365,3691,3750,3052,4,1995
5,1,5,1,3622,3815,4127,2994,5,1995
1,1,2,0,3665,3813,3879,2691,6,1995
3,1,6,0,3611,3706,3798,2838,7,1995
5,1,2,0,3786,3732,3644,3027,8,1995
3,2,2,2,3906,3896,4258,2892,9,1995
3,1,8,0,3771,3844,4261,2963,10,1995
3,3,10,3,3520,3349,3812,2796,11,1995
3,5,9,3,3480,4038,3902,2840,12,1995
10,4,17,2,3538,4111,4034,2895,1,1996
2,6,5,0,3582,3919,3841,2929,2,1996
1,4,5,3,3658,4014,3705,3027,3,1996
4,4,7,2,3449,4014,4138,2861,4,1996
1,1,8,2,3754,4220,4475,3072,5,1996
1,4,6,0,3625,3872,3895,3079,6,1996
3,1,8,3,3761,4136,4228,3200,7,1996
0,1,4,3,3889,3881,4245,3269,8,1996
2,1,8,1,3540,3675,3828,2954,9,1996
2,0,2,2,4006,4467,4830,3393,10,1996
0,1,2,2,3962,3810,4622,3427,11,1996
0,0,9,2,3919,3613,4383,3252,12,1996
7,6,18,3,3948,3875,4707,3261,1,1997
2,6,2,4,3655,3540,4219,2881,2,1997
3,0,8,5,3963,3793,4474,3302,3,1997
0,2,7,1,3727,3698,4663,3074,4,1997
1,2,1,1,3897,3867,4647,3332,5,1997
4,0,5,2,3479,3656,4574,3053,6,1997
1,3,9,1,3621,4077,4892,3279,7,1997
2,0,8,3,3552,3670,4651,3212,8,1997
2,0,9,2,3305,3708,4485,2933,9,1997
10,3,21,3,3742,4085,5146,3234,10,1997
6,3,14,6,3405,3777,4567,3250,11,1997
8,11,20,9,3359,4154,4796,3381,12,1997
8,3,5,3,2877,3553,3070,2740,1,1998
4,2,9,2,2764,3623,3498,2755,2,1998
2,4,8,2,3010,3752,4110,2832,3,1998
5,2,13,5,2982,3511,3895,2913,4,1998
0,1,12,4,2901,3553,3700,2863,5,1998
3,4,13,6,2990,3347,4024,2864,6,1998
1,0,9,6,3072,3239,4022,3000,7,1998
5,3,18,12,2708,2840,3768,2805,8,1998
9,11,34,9,2955,3262,4207,3011,9,1998
7,8,23,6,2936,3218,3961,2970,10,1998
7,3,24,1,2875,3154,4091,2960,11,1998
2,6,17,5,3043,3232,4282,3131,12,1998
6,2,14,11,2872,2951,4033,2849,1,1999
2,3,4,3,2559,2481,3508,2616,2,1999
3,4,4,2,3219,3190,4598,3090,3,1999
3,2,9,7,2935,3297,4539,2965,4,1999
5,5,7,3,2858,3131,4535,3196,5,1999
2,0,6,2,3082,3359,4922,3324,6,1999
5,2,12,5,3143,3424,4887,3348,7,1999
5,1,9,1,3000,3189,4577,3381,8,1999
2,2,7,1,3060,3259,4159,3019,9,1999
7,6,18,3,3171,3592,4868,3231,10,1999
0,5,11,3,3332,3627,4939,3242,11,1999
2,1,3,1,3625,3819,4942,3140,12,1999
